@RELATION output/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.200237,0.014581,3.271674,0.267516,0.210555,2.026290,0.003464,0.335115,-24.781511,-0.093786,-0.544941,-0.197832,-0.148093,0.237186,0.045505,0.216159,0.333536,0.218278,0.071462,0.119807,0.067162,0.013271,0.014506,0.009218,0.005960,0.005580,0.004040,0.002590,0.012377,0.003599,0.004924,0.005542,0.001931,0.009957,0.026223,0.008240,0.043832,0.016841,0.011538,0.171569,0.001524,0.051741,0.593862,0.363713,0.316923,0.305024,0.248335,0.226269,0.236612,0.228127,0.233126,0.267398,0.247575,0.223460,0.214985,0.014376,0.011631,0.009001,0.006668,0.005450,0.004874,0.002377,0.012182,0.003450,0.005721,0.004657,0.001975,0.004684,133.333333,0.100642,music
0.051434,0.016008,3.191066,0.109225,0.150687,0.350352,0.004284,0.072803,-25.366325,2.719455,-0.728974,0.096512,-0.588580,-0.099196,-0.104936,-0.144463,-0.133992,0.017237,-0.098294,0.072190,0.029577,0.022451,0.007176,0.015378,0.010894,0.023036,0.018706,0.030359,0.002893,0.017944,0.016975,0.010936,0.006617,0.020669,0.007514,0.011767,0.105543,0.019770,0.030351,0.114271,0.004024,0.015523,0.923195,0.287276,0.240879,0.255310,0.224591,0.218509,0.220728,0.217444,0.221353,0.199118,0.218251,0.201804,0.195182,0.014518,0.006446,0.009794,0.007942,0.018168,0.014223,0.021828,0.002809,0.013567,0.012426,0.007032,0.006751,0.007320,200.000000,0.079384,music
0.101346,0.020045,3.234907,0.159459,0.157690,1.149014,0.004230,0.150313,-23.206615,0.809243,-1.446596,-0.395586,-0.755742,-0.368071,-0.260409,-0.160002,-0.181953,-0.046356,-0.039594,0.045712,0.041882,0.010579,0.011862,0.010040,0.007814,0.018330,0.013701,0.017884,0.007849,0.010870,0.013211,0.008894,0.012018,0.011954,0.011904,0.007815,0.047043,0.016389,0.018783,0.147614,0.001415,0.016723,0.404585,0.268557,0.206941,0.200663,0.177854,0.180091,0.174958,0.181401,0.199734,0.190337,0.171782,0.159983,0.153535,0.010660,0.010217,0.007346,0.006996,0.012910,0.010857,0.012140,0.006178,0.006983,0.009854,0.006956,0.008125,0.004512,120.000000,0.103310,music
0.101897,0.046004,3.180058,0.200243,0.214930,0.889919,0.007222,0.159520,-23.178657,1.794458,-0.006226,0.248395,0.092798,0.074305,0.146565,0.109184,0.011478,0.015576,0.105125,0.095484,0.039543,0.013489,0.002950,0.040255,0.019214,0.019098,0.011201,0.049788,0.002665,0.006151,0.016046,0.033743,0.003427,0.029090,0.037068,0.020223,0.126269,0.040651,0.024201,0.370395,0.005176,0.080859,0.959938,0.527327,0.424881,0.325701,0.300549,0.251515,0.251624,0.279133,0.241601,0.257935,0.260677,0.240925,0.213209,0.014820,0.003441,0.033913,0.021653,0.016645,0.013541,0.047373,0.003414,0.008407,0.015099,0.034067,0.003871,0.013667,133.333333,0.095186,music
0.037888,0.065916,3.103744,0.139487,0.199372,0.283274,0.012688,0.054543,-24.911893,2.683185,0.971771,0.698358,0.519182,0.346695,0.220807,0.092174,0.098357,0.054382,0.116564,0.061028,-0.047098,0.005344,0.000510,0.087692,0.002556,0.026937,0.002854,0.092415,0.000368,0.001271,0.018178,0.055588,0.000406,0.047186,0.028886,0.026700,0.142809,0.045649,0.029309,0.253693,0.011333,0.057053,1.524887,0.651406,0.448744,0.321309,0.270092,0.245313,0.226607,0.217114,0.199200,0.195041,0.210936,0.183747,0.182148,0.005634,0.000690,0.057529,0.002862,0.026618,0.002453,0.047181,0.000722,0.001671,0.014152,0.038862,0.000532,0.010955,171.428571,0.127294,music
0.128268,0.009322,3.172883,0.205865,0.189448,1.343570,0.005445,0.220604,-25.400066,0.348675,-0.132047,-0.709392,-0.878164,-0.171742,-0.037488,0.324991,0.242267,0.249972,-0.101536,-0.006962,-0.105857,0.048103,0.009562,0.020105,0.005208,0.002989,0.009357,0.037902,0.001445,0.003712,0.008369,0.008306,0.007978,0.023060,0.029803,0.006503,0.125543,0.020190,0.022219,0.294771,0.003378,0.043604,1.016058,0.380056,0.275631,0.318802,0.247941,0.191265,0.202064,0.202666,0.187811,0.206414,0.210059,0.242275,0.171709,0.040009,0.008722,0.020598,0.004912,0.002444,0.009458,0.041662,0.001468,0.003935,0.009761,0.007467,0.007274,0.013399,240.000000,0.094480,music
0.118260,0.018810,3.182390,0.221382,0.224633,1.167700,0.005685,0.208819,-24.031643,1.419433,0.286745,0.069474,-0.069292,0.195673,-0.103346,0.171977,0.170876,0.107449,0.109140,-0.079093,0.065815,0.016657,0.006137,0.031410,0.007935,0.018687,0.007023,0.055852,0.002523,0.006946,0.011736,0.032735,0.012422,0.026025,0.046252,0.015355,0.129861,0.053200,0.031337,0.448585,0.003737,0.117118,1.322242,0.557158,0.380521,0.346195,0.270574,0.296230,0.258507,0.255950,0.238384,0.228797,0.223798,0.217830,0.213959,0.015428,0.006740,0.024593,0.006705,0.014904,0.007998,0.041378,0.003719,0.008873,0.011875,0.027440,0.013243,0.012317,150.000000,0.104712,music
0.093580,0.033309,3.209195,0.192719,0.214154,0.826062,0.005198,0.147692,-23.492315,1.930469,-0.054376,0.297187,0.283238,0.193404,-0.099051,0.023099,0.069284,0.152152,-0.045902,0.051399,0.113259,0.011452,0.008131,0.059222,0.009348,0.033849,0.015397,0.018536,0.004650,0.006131,0.010323,0.031120,0.003647,0.025228,0.032087,0.016011,0.086449,0.032829,0.020790,0.307763,0.002969,0.067732,0.773715,0.425991,0.303811,0.220741,0.227446,0.220828,0.208488,0.216015,0.193410,0.184166,0.209294,0.200668,0.197933,0.010983,0.009102,0.033273,0.011432,0.021297,0.013056,0.014776,0.005417,0.005830,0.007397,0.024289,0.003976,0.009091,133.333333,0.122970,music
0.067017,0.023026,3.071737,0.184777,0.225096,0.596753,0.009288,0.098722,-24.821033,1.974758,0.434894,0.200676,0.046532,0.217836,0.095408,0.199470,0.124832,0.160252,0.068030,0.136747,0.066883,0.006961,0.002651,0.088746,0.003368,0.017420,0.004905,0.149831,0.001017,0.005902,0.011024,0.035524,0.003556,0.052944,0.032769,0.018488,0.212135,0.046350,0.034252,0.362146,0.006754,0.074227,1.328790,0.475802,0.372527,0.383637,0.334287,0.277744,0.267919,0.231917,0.244599,0.254241,0.261143,0.226686,0.217525,0.007747,0.004069,0.065021,0.003380,0.019959,0.004004,0.090236,0.001611,0.008346,0.009383,0.030137,0.005407,0.021672,200.000000,0.143147,music
0.061586,0.019250,3.240507,0.118116,0.149103,0.445223,0.005189,0.091098,-24.764114,2.295432,-0.766744,-0.054343,-0.383906,0.148088,-0.367285,-0.275580,-0.078799,-0.066582,-0.130433,-0.023784,0.048610,0.016968,0.009915,0.017368,0.021549,0.006757,0.015852,0.014415,0.001772,0.013452,0.039276,0.028669,0.008923,0.027042,0.009956,0.007275,0.050660,0.019776,0.030664,0.139862,0.003635,0.021443,0.510175,0.336394,0.297522,0.281762,0.276166,0.252862,0.247571,0.243962,0.239491,0.250447,0.222377,0.232016,0.212588,0.012153,0.010620,0.011442,0.021278,0.005137,0.014546,0.013121,0.001662,0.013001,0.018361,0.020593,0.007532,0.007936,240.000000,0.071259,music
