@RELATION trained/svmGenreRecog
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
0.084424,0.023888,3.136895,0.163031,0.184237,0.772875,0.007813,0.125698,-23.748222,1.924582,0.145578,0.157663,-0.053141,0.184062,0.055083,0.115701,-0.041914,0.005663,-0.021223,-0.128134,-0.102063,0.021492,0.006123,0.041859,0.010659,0.022873,0.015469,0.047246,0.003226,0.007514,0.012110,0.029317,0.005547,0.025150,0.025113,0.018881,0.155025,0.024617,0.021091,0.304147,0.003859,0.060322,1.343981,0.386339,0.486468,0.285246,0.351468,0.236066,0.255043,0.210264,0.257440,0.252098,0.229969,0.249983,0.230817,0.023484,0.008885,0.028876,0.013076,0.018357,0.016791,0.036592,0.006792,0.011391,0.013769,0.023599,0.007556,0.010049,133.333333,0.112805,blues
0.057423,0.021702,3.071692,0.146155,0.196599,0.395081,0.010735,0.074185,-25.507468,2.581728,0.182662,0.341278,0.159940,0.119606,0.001288,0.084251,-0.051596,-0.040563,-0.048242,-0.077013,-0.003775,0.029031,0.001717,0.069881,0.010544,0.033912,0.010838,0.071888,0.000791,0.003873,0.011728,0.033221,0.005254,0.038920,0.027868,0.018173,0.238545,0.032911,0.025763,0.251999,0.006111,0.055178,1.856708,0.488203,0.504403,0.322016,0.308505,0.278236,0.255261,0.246602,0.228917,0.228983,0.233734,0.230552,0.224990,0.030959,0.002360,0.054063,0.014362,0.025743,0.012102,0.056745,0.001425,0.006824,0.013112,0.027339,0.007233,0.014627,200.000000,0.106223,blues
0.078088,0.041242,3.158365,0.148418,0.170080,0.773880,0.007597,0.127946,-22.677341,2.036993,-0.225015,0.601448,-0.087028,0.160496,-0.065463,0.031417,-0.025569,0.027785,-0.050766,-0.058939,-0.023050,0.015855,0.004503,0.038864,0.024426,0.021198,0.008473,0.026111,0.006023,0.010630,0.018089,0.030558,0.005597,0.021745,0.024685,0.022694,0.135878,0.025022,0.020956,0.308619,0.004243,0.047800,1.291217,0.542236,0.362191,0.286681,0.346011,0.253797,0.232521,0.225874,0.220732,0.226226,0.229161,0.242318,0.220412,0.015606,0.005676,0.025548,0.021082,0.017420,0.009563,0.023297,0.007794,0.012459,0.013827,0.027258,0.006820,0.008422,150.000000,0.144118,blues
0.034571,0.033369,3.102690,0.114063,0.173899,0.197936,0.011282,0.043440,-25.546415,2.902728,-0.071578,0.426862,0.129278,0.306621,-0.000505,0.117452,0.069643,0.178079,0.072208,0.054097,0.005909,0.008543,0.004813,0.023691,0.009202,0.023566,0.008772,0.070874,0.001689,0.007580,0.008645,0.129213,0.002659,0.050587,0.018706,0.033489,0.190378,0.026201,0.027404,0.157208,0.009574,0.025999,1.721607,0.438508,0.384596,0.302944,0.264381,0.244281,0.230734,0.236358,0.212481,0.201150,0.200370,0.190263,0.167947,0.009222,0.007025,0.018032,0.012134,0.022561,0.011255,0.068048,0.003190,0.008244,0.007967,0.089377,0.003185,0.019412,171.428571,0.093202,blues
0.103914,0.011265,3.148215,0.172508,0.173041,1.010019,0.007022,0.171553,-25.050851,1.667668,-0.875684,0.018829,-0.208412,0.016012,-0.282005,-0.206127,-0.238159,-0.180226,-0.138917,-0.085141,0.073064,0.007357,0.010197,0.014663,0.012808,0.012618,0.024216,0.010579,0.003371,0.022153,0.005659,0.009252,0.010531,0.015065,0.031274,0.009138,0.181386,0.031312,0.020438,0.369625,0.003789,0.068604,1.543157,0.600379,0.435269,0.301080,0.325924,0.276716,0.262914,0.237611,0.305620,0.276688,0.255248,0.270614,0.257408,0.006916,0.010831,0.011818,0.010480,0.013239,0.019293,0.009331,0.004367,0.021668,0.005065,0.008154,0.015322,0.007027,133.333333,0.118268,blues
0.098762,0.013681,3.178651,0.174241,0.177780,0.789783,0.006533,0.168960,-25.427607,2.195480,-0.340874,0.006509,-0.175233,-0.022560,-0.326512,-0.115665,-0.208568,-0.103840,-0.232536,-0.069918,0.051495,0.016649,0.004693,0.026347,0.015647,0.016046,0.055007,0.020467,0.001301,0.008409,0.005520,0.024740,0.004019,0.024042,0.040184,0.010409,0.147321,0.039685,0.024916,0.353120,0.004727,0.074418,1.559311,0.607344,0.456652,0.282755,0.292774,0.254091,0.253214,0.235271,0.249419,0.223380,0.225436,0.252291,0.253893,0.016402,0.004560,0.022178,0.015470,0.015791,0.035660,0.013394,0.001706,0.008047,0.006156,0.019632,0.004745,0.009660,200.000000,0.114317,blues
0.077099,0.027437,3.132874,0.148640,0.161821,0.764860,0.008956,0.135150,-25.067503,1.924064,0.273677,0.143742,-0.336736,0.340095,-0.359989,-0.093596,-0.343957,-0.107691,-0.242734,-0.124320,-0.205636,0.021749,0.006440,0.043299,0.023170,0.035622,0.006428,0.009441,0.001851,0.008924,0.011656,0.026778,0.002224,0.026834,0.031878,0.022208,0.218513,0.033149,0.028368,0.384165,0.006363,0.067114,2.021778,0.740770,0.489837,0.341250,0.332842,0.298675,0.277331,0.263989,0.267561,0.245980,0.293031,0.271839,0.246897,0.024445,0.009482,0.038486,0.024505,0.035068,0.009138,0.010932,0.003408,0.009854,0.011342,0.024776,0.003159,0.011914,171.428571,0.091954,blues
0.066106,0.021034,3.112454,0.147661,0.175604,0.620488,0.009910,0.105802,-24.998786,2.284591,0.430476,0.258290,-0.202047,0.220743,-0.216995,-0.065519,-0.338700,-0.210134,-0.201475,-0.146348,-0.108011,0.021011,0.003330,0.062110,0.037484,0.024878,0.022410,0.018100,0.002086,0.007922,0.011212,0.017314,0.003992,0.029387,0.022865,0.015915,0.177731,0.028059,0.025042,0.261280,0.006508,0.049540,1.585360,0.527335,0.480070,0.297016,0.338895,0.269395,0.233490,0.272098,0.229011,0.223610,0.213300,0.260040,0.207264,0.022970,0.004125,0.044774,0.032535,0.020498,0.025221,0.016070,0.003989,0.008878,0.010913,0.016275,0.006217,0.010265,240.000000,0.090301,blues
0.066592,0.031483,3.166938,0.160517,0.192513,0.566718,0.008480,0.096531,-23.708108,2.067509,0.228650,0.232284,0.197806,0.329016,-0.135790,-0.076670,0.102648,0.009793,-0.192930,-0.096255,-0.189266,0.017091,0.002452,0.031039,0.017603,0.013323,0.003571,0.079933,0.001408,0.006279,0.016595,0.083971,0.003134,0.040540,0.026820,0.017552,0.119874,0.029643,0.025046,0.287170,0.004713,0.062927,1.236406,0.407652,0.445534,0.267493,0.264197,0.236120,0.257102,0.216987,0.211665,0.201251,0.215837,0.227691,0.195490,0.019349,0.003964,0.023161,0.016979,0.010557,0.003767,0.081415,0.001963,0.008813,0.014303,0.068149,0.004679,0.019120,171.428571,0.159735,blues
0.080505,0.016267,3.161677,0.166341,0.186791,0.605404,0.007879,0.119653,-26.176184,2.198621,-0.366596,-0.176934,-0.044793,-0.104118,-0.049377,-0.075401,-0.236804,0.018626,-0.005366,0.081926,0.064320,0.022254,0.003758,0.026047,0.013091,0.017950,0.027731,0.040863,0.002332,0.008424,0.010092,0.034233,0.010837,0.027848,0.029351,0.013957,0.145455,0.029744,0.020879,0.292130,0.004997,0.075346,1.523337,0.445265,0.506052,0.344107,0.281449,0.287017,0.267752,0.261118,0.289636,0.268399,0.262112,0.225217,0.250955,0.023414,0.005753,0.022988,0.016270,0.021876,0.024992,0.031966,0.003681,0.007767,0.012243,0.029577,0.013125,0.010957,240.000000,0.090293,blues
